age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
37,0,286730,10,2,1,3,0,1,0,0,40,0,0
28,0,212563,10,2,3,3,1,1,0,0,25,0,0
30,0,117747,9,0,3,3,2,1,0,1573,35,2,0
34,2,226296,13,0,3,0,0,0,0,0,40,0,1
29,2,115585,10,1,3,1,0,0,0,0,50,0,0
48,1,191277,16,0,0,0,0,0,0,1902,60,0,1
37,0,202683,10,0,3,0,0,0,0,0,48,0,1
48,0,171095,12,2,2,3,0,1,0,0,40,3,0
32,3,249409,9,1,3,2,1,0,0,0,40,0,0
76,0,124191,14,0,2,0,0,0,0,0,40,0,1
44,0,198282,13,0,2,0,0,0,15024,0,60,0,1
47,1,149116,14,1,0,1,0,1,0,0,50,0,0
20,0,188300,10,1,3,2,0,1,0,0,40,0,0
29,0,103432,9,1,1,1,0,0,0,0,40,0,0
32,3,317660,9,0,1,0,0,0,7688,0,40,0,1
17,3,304873,6,1,3,2,0,1,34095,0,32,0,0
30,0,194901,7,1,3,2,0,0,0,0,40,0,0
31,2,189265,9,1,3,1,0,1,0,0,40,0,0
42,0,124692,9,0,3,0,0,0,0,0,40,0,0
24,0,432376,13,1,3,3,0,0,0,0,40,0,0
38,0,65324,15,0,0,0,0,0,0,0,40,0,1
56,1,335605,9,0,3,0,0,0,0,1887,50,3,1
28,0,377869,10,0,3,3,0,1,4064,0,25,0,0
36,0,102864,9,1,3,2,0,1,0,0,40,0,0
53,0,95647,5,0,3,0,0,0,0,0,50,0,0
56,3,303090,10,0,3,0,0,0,0,0,50,0,0
49,2,197371,11,0,1,0,1,0,0,0,40,0,1
55,0,247552,10,0,3,0,0,0,0,0,56,0,0
22,0,102632,9,1,1,1,0,0,0,0,41,0,0
21,0,199915,10,1,3,2,0,1,0,0,40,0,0
40,0,118853,13,0,2,0,0,0,0,0,60,0,0
30,0,77143,13,1,2,2,1,0,0,0,40,3,0
29,3,267989,13,0,0,0,0,0,0,0,50,0,1
19,0,301606,10,1,3,2,1,0,0,0,35,0,0
47,0,287828,13,0,2,3,0,1,0,0,40,0,1
20,0,111697,10,1,3,2,0,1,0,1719,28,0,0
31,0,114937,12,0,3,0,0,0,0,0,40,0,1
35,3,129305,9,0,3,0,0,0,0,0,40,0,0
39,0,365739,10,2,1,1,0,0,0,0,40,0,0
28,0,69621,12,1,3,1,0,1,0,0,60,0,0
24,0,43323,9,1,3,1,0,1,0,1762,40,0,0
38,1,120985,9,0,1,0,0,0,4386,0,35,0,0
37,0,254202,13,0,3,0,0,0,0,0,50,0,0
46,0,146195,12,2,3,1,1,1,0,0,36,0,0
38,3,125933,14,0,0,0,0,0,0,0,40,3,1
43,1,56920,9,0,1,0,0,0,0,0,60,0,0
27,0,163127,11,0,3,3,0,1,0,0,35,0,0
20,0,34310,10,1,3,2,0,0,0,0,20,0,0
49,0,81973,10,0,1,0,2,0,0,0,40,0,1
61,3,66614,9,0,1,0,0,0,0,0,40,0,0
27,0,232782,10,1,3,2,0,1,0,0,40,0,0
19,0,316868,10,1,3,2,0,0,0,0,30,1,0
45,0,196584,11,1,0,1,0,1,0,1564,40,0,1
70,0,105376,10,1,3,3,0,0,0,0,40,0,0
31,0,185814,9,1,3,3,1,1,0,0,30,0,0
22,0,175374,10,0,3,0,0,0,0,0,24,0,0
36,0,108293,9,3,3,3,0,1,0,0,24,0,0
64,0,181232,7,0,1,0,0,0,0,2179,40,0,0
43,3,174662,10,2,3,1,0,1,0,0,40,0,0
47,2,186009,10,2,3,3,0,1,0,0,38,1,0
34,0,198183,9,1,3,1,0,1,0,0,40,0,0
33,0,163003,13,1,2,3,2,1,0,0,40,3,0
21,0,296158,9,1,1,2,0,0,0,0,35,0,0
52,3,252903,9,2,3,1,0,0,0,0,45,0,1
48,0,187715,9,0,1,0,0,0,0,0,46,0,0
23,0,214542,13,1,3,1,0,0,0,0,40,0,0
71,1,494223,10,3,3,3,1,0,0,1816,2,0,0
29,0,191535,9,2,1,1,0,0,0,0,60,0,0
42,0,228456,13,3,3,3,1,0,0,0,50,0,0
68,3,38317,2,2,3,1,0,1,0,0,20,0,0
25,0,252752,9,1,3,3,0,1,0,0,40,0,0
44,3,78374,14,2,2,3,2,1,0,0,40,0,0
28,0,88419,9,1,2,1,2,1,0,0,40,3,0
45,1,201080,14,0,3,0,0,0,0,0,40,0,1
36,0,207157,10,2,3,3,0,1,0,0,40,1,0
39,3,235485,12,1,2,1,0,0,0,0,42,0,0
46,3,102628,14,3,3,3,0,0,0,0,40,0,0
18,0,25828,7,1,3,2,0,0,0,0,16,0,0
66,2,54826,11,3,0,1,0,1,0,0,20,0,0
27,0,124953,9,1,3,1,0,0,0,1980,40,0,0
28,3,175325,9,0,3,0,0,0,0,0,40,0,0
51,0,96062,10,0,3,0,0,0,0,1977,40,0,1
27,0,428030,13,1,1,1,0,0,0,0,50,0,0
28,3,149624,13,0,0,0,0,0,0,0,40,0,1
27,0,253814,9,3,3,3,0,1,0,0,25,0,0
21,0,312956,9,1,1,2,1,0,0,0,40,0,0
34,0,483777,9,1,3,1,1,0,0,0,40,0,0
18,0,183930,9,1,3,2,0,0,0,0,12,0,0
33,0,37274,13,0,0,0,0,0,0,0,65,0,0
44,2,181344,10,0,2,0,1,0,0,0,38,0,1
43,0,114580,10,2,3,1,0,1,0,0,40,0,0
30,0,633742,10,1,1,1,1,0,0,0,45,0,0
40,0,286370,4,0,3,0,0,0,0,0,40,1,1
37,3,29054,10,0,3,0,0,0,0,0,42,0,1
34,0,304030,9,0,3,0,1,0,0,0,40,0,0
41,1,143129,13,2,2,1,0,1,0,0,40,0,0
53,3,135105,13,2,3,1,0,1,0,0,50,0,0
31,0,99928,14,0,0,3,0,1,0,0,50,0,0
58,3,109567,16,0,0,0,0,0,0,0,1,0,1
38,0,155222,10,2,3,1,1,1,0,0,28,0,0
24,0,159567,10,0,3,0,0,0,0,0,40,0,0
41,2,523910,13,0,1,0,1,0,0,0,40,0,0
47,0,120939,10,0,3,0,0,0,0,0,45,0,0
41,3,130760,13,0,3,0,0,0,0,0,24,0,0
23,0,197387,3,0,3,3,0,0,0,0,40,1,0
36,0,99374,10,2,1,1,0,0,0,0,40,0,0
40,3,56795,14,1,2,1,0,1,14084,0,55,0,1
35,0,138992,14,0,0,3,0,0,7298,0,40,0,1
24,1,32921,9,1,3,1,0,0,0,0,40,0,0
26,0,397317,14,1,0,1,0,1,0,1876,40,0,0
19,3,170653,9,1,3,2,0,0,0,0,40,3,0
51,0,259323,13,0,2,0,0,0,0,0,50,0,1
42,2,254817,10,1,0,1,0,1,0,1340,40,0,0
37,3,48211,9,2,3,3,0,1,0,0,35,0,0
18,0,140164,7,1,3,2,0,1,0,0,40,0,0
36,0,128757,13,0,3,0,1,0,7298,0,36,0,1
35,0,36270,9,2,1,1,0,0,0,0,60,0,0
58,3,210563,9,0,3,3,0,1,15024,0,35,0,1
17,0,65368,7,1,3,2,0,1,0,0,12,0,0
44,2,160943,9,0,3,0,1,0,0,0,40,0,0
37,0,208358,9,0,1,0,0,0,0,0,40,0,1
35,0,153790,10,1,3,1,3,1,0,0,40,0,0
60,0,85815,9,0,1,0,2,0,0,0,40,0,0
54,3,125417,4,0,3,0,0,0,0,0,40,0,1
37,0,635913,13,1,2,1,1,0,0,0,60,0,1
50,0,313321,12,2,3,1,0,1,0,0,40,0,0
38,0,182609,13,0,3,0,0,0,0,0,50,3,0
45,0,109434,13,0,0,0,0,0,0,0,55,0,0
25,0,255004,6,1,1,1,0,0,0,0,40,0,0
31,0,197860,10,0,3,0,0,0,0,0,40,0,0
64,3,187656,2,2,3,1,0,0,0,0,40,0,0
90,0,51744,9,1,3,1,1,0,0,2206,40,0,0
54,0,176681,9,0,3,0,1,0,0,0,20,0,0
53,2,140359,1,1,3,1,0,1,0,0,35,0,0
18,0,243313,9,1,3,2,0,1,0,0,40,0,0
60,3,24215,6,2,3,1,3,1,0,0,10,0,0
66,1,167687,9,0,3,0,0,0,1409,0,50,0,0
75,0,314209,11,3,3,1,0,1,0,0,20,3,0
65,0,176796,9,2,3,1,0,1,0,0,40,0,0
35,0,538583,7,3,3,1,1,0,3674,0,40,0,0
41,0,130408,9,2,3,3,1,1,0,0,38,0,0
25,0,159732,10,1,3,1,0,0,0,0,42,0,0
33,0,110978,10,2,1,3,3,1,0,0,40,0,0
28,0,76714,15,1,0,1,0,0,0,0,55,0,1
59,3,268700,9,0,3,0,0,0,0,0,40,0,0
40,3,170525,10,1,3,1,0,1,0,0,38,0,0
41,0,180138,13,0,2,0,0,0,0,0,50,3,1
38,2,115076,14,0,2,0,0,0,0,0,70,0,1
23,0,115458,9,1,3,2,0,0,0,0,40,0,0
40,0,347890,13,0,0,0,0,0,0,0,40,0,1
41,1,196001,9,0,3,3,0,1,0,0,20,0,0
24,3,273905,12,0,3,0,0,0,0,0,50,0,0
20,3,119156,10,1,3,2,0,0,0,0,20,0,0
38,0,179488,10,2,1,1,0,0,0,1741,40,0,0
56,0,203580,9,0,3,0,0,0,0,0,35,2,0
58,0,236596,9,0,3,0,0,0,0,0,45,0,1
32,0,183916,9,1,3,1,0,1,0,0,34,0,0
40,0,207578,12,0,3,0,0,0,0,1977,60,0,1
45,0,153141,9,0,3,0,0,0,0,0,40,2,0
41,0,112763,15,0,0,3,0,1,0,0,40,0,1
42,0,390781,13,0,3,3,1,1,0,0,40,0,0
59,2,171328,6,3,3,3,1,1,0,0,30,0,0
19,2,27382,10,1,3,2,0,0,0,0,40,0,0
58,0,259014,10,1,3,1,0,0,0,0,20,0,0
42,1,303044,9,0,3,0,2,0,0,0,40,3,1
20,0,117789,9,1,3,2,0,1,0,0,40,0,0
32,0,172579,9,3,3,1,0,1,0,0,30,0,0
45,0,187666,11,3,2,1,0,1,0,0,45,0,0
50,0,204518,4,2,1,1,0,0,0,0,40,0,0
36,0,150042,13,2,0,2,0,1,0,0,40,0,0
45,0,98092,9,0,3,0,0,0,0,0,60,0,0
17,0,245918,7,1,3,2,0,0,0,0,12,0,0
59,0,146013,10,0,3,0,0,0,4064,0,40,0,0
26,0,378322,7,0,1,0,0,0,0,0,40,0,0
37,3,257295,10,0,2,0,2,0,0,0,75,3,1
19,3,218956,10,1,3,2,0,0,0,0,24,3,0
64,0,21174,9,0,2,0,0,0,0,0,40,0,1
33,0,185480,13,1,0,1,0,1,0,0,45,0,0
33,0,222205,9,0,1,3,0,1,0,0,40,0,1
61,0,69867,9,0,2,0,0,0,0,0,40,0,1
17,0,191260,5,1,3,2,0,0,1055,0,24,0,0
50,1,30653,14,0,3,0,0,0,2407,0,98,0,0
27,2,209109,14,1,0,2,0,0,0,0,35,0,0
30,0,70377,9,2,0,2,0,1,0,0,40,0,0
43,0,477983,9,0,3,0,1,0,0,0,40,0,0
44,0,170924,10,0,1,0,0,0,7298,0,40,0,1
35,0,190174,10,1,2,1,0,1,0,0,40,0,0
25,0,193787,10,1,3,2,0,1,0,0,40,0,0
24,0,279472,10,0,3,3,0,1,7298,0,48,0,1
22,0,34918,13,1,0,1,0,1,0,0,15,3,0
42,2,97688,10,0,1,0,0,0,5178,0,40,0,1
34,0,175413,12,2,3,3,1,1,0,0,45,0,0
60,0,173960,13,2,0,1,0,1,0,0,42,0,0
21,0,205759,9,1,3,2,0,0,0,0,40,0,0
57,3,425161,14,0,3,0,0,0,15024,0,40,0,1
41,0,220531,15,0,0,0,0,0,0,0,60,0,1
50,0,176609,10,2,3,1,0,0,0,0,45,0,0
25,0,371987,13,1,2,1,0,1,0,0,40,0,0
50,0,193884,4,0,1,0,0,0,0,0,40,3,0
36,0,200352,13,0,0,0,0,0,0,0,45,0,0
31,0,127595,9,2,0,1,0,1,0,0,40,0,0
29,2,220419,13,1,3,1,0,0,0,0,56,0,0
21,0,231931,10,1,3,2,0,0,0,0,45,0,0
27,0,248402,13,1,3,3,1,1,0,0,40,0,0
65,0,111095,9,0,3,0,0,0,0,0,16,0,0
37,3,57424,13,2,3,1,0,1,0,0,60,0,0
39,3,157443,14,0,3,3,2,1,3464,0,40,2,0
24,0,278130,9,1,1,2,0,0,0,0,40,0,0
38,0,169469,9,2,3,1,0,0,0,0,80,0,0
48,0,146268,13,0,3,0,0,0,7688,0,40,0,1
21,0,153718,10,1,3,1,2,1,0,0,25,0,0
31,0,217460,9,0,3,0,0,0,0,0,45,0,1
55,0,238638,9,0,3,0,0,0,4386,0,40,0,1
24,0,303296,10,0,3,3,2,1,0,0,40,3,0
43,0,173321,9,2,3,1,0,1,0,0,40,0,0
26,0,193945,12,1,3,1,0,0,0,0,45,0,0
46,0,83082,12,1,0,1,0,1,0,0,33,0,0
35,0,193815,12,0,3,0,0,0,0,0,40,0,1
41,3,34987,10,0,3,0,0,0,0,0,54,0,1
26,0,59306,13,1,3,1,0,0,0,0,40,0,0
34,0,142897,14,0,2,0,2,0,7298,0,35,3,1
19,3,860348,10,1,3,2,1,1,0,0,25,0,0
36,1,205607,13,2,0,1,1,1,0,0,40,0,1
22,0,199698,10,1,3,2,0,0,0,0,15,0,0
24,0,191954,10,1,3,1,0,0,0,0,40,0,0
77,1,138714,10,0,3,0,0,0,0,0,40,0,0
22,0,399087,3,0,3,3,0,1,0,0,40,1,0
29,0,423158,10,1,3,1,0,1,0,0,40,0,0
62,0,159841,9,3,3,1,0,1,0,0,24,0,0
39,1,174308,9,0,2,0,0,0,0,0,40,0,0
43,0,50356,10,0,1,0,0,0,0,1485,50,0,0
35,0,186110,9,2,3,1,0,0,0,0,45,0,0
29,0,200381,7,1,2,1,0,1,0,0,40,0,0
76,1,174309,14,0,1,0,0,0,0,0,10,0,0
63,1,78383,9,0,3,0,0,0,0,0,45,0,0
23,3,211601,11,1,3,2,1,1,0,0,15,0,0
43,0,187728,10,0,0,3,0,1,0,1887,50,0,1
58,1,321171,9,0,3,0,0,0,0,0,40,0,0
66,0,127921,9,1,3,1,0,0,2050,0,55,0,0
41,0,206565,10,1,1,1,1,0,0,0,45,0,0
26,0,224563,13,1,3,1,0,0,0,0,40,0,0
47,0,178686,11,1,3,1,0,0,0,0,40,0,0
55,2,98545,6,0,3,0,0,0,0,0,40,0,0
53,0,242606,9,0,3,0,0,0,0,0,40,0,0
17,0,270942,3,1,3,3,0,0,0,0,48,1,0
30,0,94235,9,1,1,3,0,0,0,0,40,0,0
49,0,71195,14,1,0,1,0,0,0,0,60,0,0
19,0,104112,9,1,3,3,1,0,0,0,30,3,0
45,0,261192,9,0,3,0,1,0,0,0,40,0,0
26,0,94936,12,1,3,1,0,0,0,0,40,0,0
38,0,296478,11,0,1,0,0,0,7298,0,40,0,1
36,3,119272,9,0,3,0,0,0,7298,0,40,0,1
33,0,85043,9,1,3,1,0,0,0,0,20,0,0
22,3,293364,10,1,3,2,1,1,0,0,40,0,0
43,1,241895,13,1,3,1,0,0,0,0,42,0,0
67,3,36135,7,0,3,0,0,0,0,0,8,0,0
30,3,151989,11,2,3,3,0,1,0,0,40,0,0
56,0,101128,12,3,3,1,0,0,0,0,25,3,0
31,0,156464,13,1,0,2,0,0,0,0,25,0,0
33,0,117963,13,0,2,0,0,0,0,0,40,0,1
26,0,192262,9,0,3,0,0,0,0,0,40,0,0
33,0,111363,13,0,2,0,0,0,0,0,40,0,1
46,2,329752,7,0,3,0,0,0,0,0,30,0,0
59,3,372020,13,0,3,0,0,0,0,0,40,0,1
38,3,95432,9,0,3,0,0,0,0,0,40,0,1
65,0,161400,7,3,3,3,3,0,0,0,40,0,0
40,0,96129,11,0,3,0,0,0,0,0,40,0,1
42,0,111949,9,0,3,3,0,1,0,0,35,0,0
26,1,117125,5,0,1,0,0,0,0,0,40,3,0
36,0,348022,6,0,3,3,0,1,0,0,24,0,0
62,0,270092,14,0,0,0,0,0,0,0,40,0,1
43,0,180609,13,0,3,0,0,0,0,0,45,0,0
43,0,174575,13,2,2,1,0,0,0,1564,45,0,1
22,0,410439,9,3,3,1,0,0,0,0,55,0,0
28,0,92262,9,0,1,0,0,0,0,0,40,0,0
56,1,183081,10,0,3,0,0,0,0,0,45,0,0
22,0,362589,12,1,3,1,0,1,0,0,15,0,0
57,0,212448,13,2,2,1,0,1,0,0,45,0,1
39,0,481060,9,2,3,3,0,1,0,0,40,0,0
26,3,185885,10,1,3,3,0,1,0,0,15,0,0
17,0,89821,7,1,3,2,0,0,0,0,10,0,0
40,3,184018,11,0,3,0,0,0,0,0,38,0,1
45,0,256649,9,0,3,0,1,0,0,0,40,0,0
44,0,160323,9,1,1,1,1,0,0,0,40,0,0
20,2,350845,10,1,3,2,0,1,0,0,10,0,0
33,0,267404,9,0,1,3,0,1,0,0,40,0,0
23,0,35633,10,1,3,1,0,0,0,0,40,0,0
46,1,80914,14,2,2,1,0,0,0,0,30,0,0
38,0,172927,9,0,3,0,0,0,0,0,50,0,0
54,0,174319,9,2,3,1,0,0,0,0,40,0,0
46,0,214955,3,2,1,1,0,1,0,2339,45,0,0
25,0,344991,10,0,1,0,0,0,0,0,40,0,0
46,0,108699,10,2,3,1,0,1,0,0,40,0,0
36,2,117312,10,0,3,3,0,1,0,0,40,0,0
23,0,396099,9,1,3,1,0,1,0,0,25,0,0
29,0,134152,9,3,3,1,0,0,0,0,40,0,0
44,0,162028,10,0,3,3,0,1,0,2415,6,0,1
19,0,25429,10,1,3,2,0,1,0,0,16,0,0
19,0,232392,9,1,3,3,0,1,0,0,40,0,0
35,0,220098,9,0,3,3,0,1,0,0,40,0,1
27,0,301302,13,1,1,1,0,0,0,0,50,0,0
46,1,277946,12,3,1,1,0,0,0,0,40,0,0
34,3,98101,13,0,2,0,0,0,7688,0,45,2,1
34,0,196164,9,1,3,1,0,1,0,0,35,0,0
44,0,115562,10,0,3,0,0,0,0,0,40,0,0
45,0,96975,10,2,3,3,0,1,0,0,40,0,0
20,3,137300,9,1,3,3,0,1,0,0,35,0,0
25,0,86872,13,0,2,0,0,0,0,0,55,0,1
52,3,132178,13,0,2,0,0,0,0,0,50,0,1
20,0,416103,10,1,3,2,0,0,0,0,40,0,0
28,0,108574,10,1,3,1,0,1,0,0,40,0,0
50,3,288353,13,0,3,0,0,0,0,0,40,0,1
34,0,227689,11,2,3,1,0,1,0,0,64,0,0
28,0,166481,4,0,3,0,3,0,0,2179,40,3,0
41,0,445382,14,0,2,0,0,0,0,1977,65,0,1
28,0,110145,9,0,3,0,0,0,0,0,40,0,0
46,1,317253,9,0,1,0,0,0,0,0,25,0,0
28,3,123147,10,0,3,3,0,1,0,1887,40,0,1
32,0,364657,10,0,2,0,0,0,0,0,50,0,0
41,2,42346,10,2,3,1,1,1,0,0,24,0,0
24,0,241951,9,1,3,3,1,1,0,0,40,0,0
33,0,118500,10,2,2,3,0,1,0,0,40,0,0
46,0,188386,16,0,2,0,0,0,15024,0,60,0,1
31,3,1033222,10,0,3,0,0,0,0,0,40,0,0
35,0,92440,8,2,1,1,0,0,0,0,50,0,1
52,0,190762,2,0,3,0,0,0,0,0,40,1,0
30,0,426017,7,1,3,2,0,1,0,0,19,0,0
34,2,243867,7,3,3,1,1,0,0,0,40,0,0
34,3,240283,9,2,3,3,0,1,0,0,40,0,0
20,0,61777,10,0,3,0,0,0,0,0,30,0,0
17,0,175024,7,1,3,2,0,0,2176,0,18,0,0
32,3,92003,13,0,2,3,0,1,0,0,40,0,1
29,0,188401,9,2,3,1,0,0,0,0,40,0,0
33,0,228528,6,1,1,3,0,1,0,0,35,0,0
25,0,133373,9,0,3,0,0,0,0,0,60,0,0
36,3,255191,14,1,0,1,0,0,0,1408,40,0,0
23,0,204653,9,1,3,1,0,0,0,0,72,3,0
63,3,222289,9,0,2,0,0,0,0,0,40,0,1
47,2,287480,14,0,0,0,0,0,0,0,40,0,0
80,3,107762,9,3,3,1,0,0,0,0,24,0,0
17,3,202521,7,1,3,2,0,0,0,0,40,0,0
40,1,204116,13,3,0,1,0,1,2174,0,40,0,0
30,0,29662,12,0,3,3,0,1,0,0,25,0,1
27,0,116358,10,1,1,2,2,0,0,1980,40,3,0
33,0,208405,14,0,0,0,0,0,0,0,50,0,1
34,2,284843,9,1,3,1,1,0,594,0,60,0,0
34,2,117018,10,1,3,1,0,1,0,0,40,0,0
23,0,81281,10,0,3,0,0,0,0,0,40,0,0
42,2,340148,10,0,3,3,0,1,0,0,40,0,0
29,0,363425,13,1,0,1,0,0,0,0,40,0,0
45,0,45857,9,2,3,1,0,1,0,0,28,0,0
24,3,191073,9,1,3,2,0,0,0,0,40,0,0
44,0,116632,10,0,0,0,0,0,0,0,40,0,1
27,0,405855,5,1,1,3,0,0,0,0,40,1,0
20,0,298227,10,1,3,1,0,0,0,0,35,0,0
44,0,290521,9,3,2,3,1,1,0,0,40,0,0
51,0,56915,9,0,1,0,3,0,0,0,40,0,0
20,0,146538,9,0,3,0,0,0,0,0,40,0,0
17,3,258872,7,1,3,2,0,1,0,0,5,0,0
19,0,206399,9,1,3,2,1,1,0,0,40,0,0
45,3,197332,10,0,1,0,0,0,0,0,55,0,1
60,0,245062,9,0,1,0,0,0,0,0,40,0,1
42,0,197583,12,0,2,0,1,0,0,0,40,2,1
44,1,234885,9,0,3,3,0,1,0,0,40,0,1
40,0,72887,11,0,3,0,2,0,0,0,40,0,1
30,0,180374,9,0,2,3,0,1,0,0,40,0,0
38,0,351299,10,0,3,0,1,0,0,0,50,0,0
23,0,54012,9,0,3,0,0,0,0,0,60,0,0
32,3,115745,10,0,3,0,0,0,0,0,40,0,0
44,0,116632,12,1,3,2,0,0,0,0,40,0,0
54,2,288825,9,0,3,0,1,0,0,0,40,0,0
32,0,132601,13,0,0,0,0,0,0,0,50,0,0
50,0,193374,2,3,1,3,0,0,0,0,40,0,0
24,0,170070,13,1,3,1,0,1,0,0,20,0,0
37,0,126708,9,0,3,3,0,1,0,0,60,0,0
52,0,35598,9,2,3,3,0,0,0,0,40,0,0
38,0,33983,10,0,3,0,0,0,0,0,40,0,0
49,0,192776,14,0,2,0,0,0,0,1977,45,0,1
30,0,118551,13,0,3,3,0,1,0,0,16,0,1
60,0,201965,10,1,0,3,0,0,0,0,40,0,1
22,3,139883,10,1,3,2,0,0,0,0,40,0,0
35,0,285020,9,1,1,1,0,0,0,0,40,0,0
30,0,303990,9,1,3,1,0,0,0,0,60,0,0
67,0,49401,11,2,3,1,0,1,0,0,24,0,0
46,0,279196,13,1,1,1,0,1,0,0,40,0,0
